4'Video,2'Video,EarHt (inches)
GOPR0388,GOPR0165,39
GOPR0389,GOPR0166,50
GOPR0390,GOPR0167,44
GOPR0391,GOPR0168,40
GOPR0392,GOPR0169,40
GOPR0393,GOPR0170,46
GOPR0394,GOPR0171,45
GOPR0395,GOPR0172,40
GOPR0396,GOPR0173,42
GOPR0397,GOPR0174,42
GOPR0398,GOPR0175,34
GOPR0399,GOPR0176,37
GOPR0400,GOPR0177,40
GOPR0401,GOPR0178,40
GOPR0402,GOPR0179,40
GOPR0403,GOPR0180,42
GOPR0404,GOPR0181,34
GOPR0405,GOPR0182,42
GOPR0406,GOPR0183,42
GOPR0407,GOPR0184,46
GOPR0408,GOPR0185,45
GOPR0409,GOPR0186,38
GOPR0410,GOPR0187,40
GOPR0411,GOPR0188,42
GOPR0412,GOPR0189,39
GOPR0413,GOPR0190,29
GOPR0414,GOPR0191,40
GOPR0415,GOPR0192,44
GOPR0416,GOPR0193,39
GOPR0417,GOPR0194,34
GOPR0418,GOPR0195,40
GOPR0419,GOPR0196,44
GOPR0420,GOPR0197,39
GOPR0421,GOPR0198,42
GOPR0422,GOPR0199,43
GOPR0423,GOPR0200,40
GOPR0424,GOPR0201,38
GOPR0426,GOPR0203,42
GOPR0427,GOPR0204,38
GOPR0428,GOPR0205,44
GOPR0429,GOPR0206,42
GOPR0430,GOPR0207,41
GOPR0431,GOPR0208,40
GOPR0433,GOPR0210,45
GOPR0434,GOPR0211,38
GOPR0436,GOPR0213,40
GOPR0437,GOPR0214,46
GOPR0438,GOPR0215,42
GOPR0439,GOPR0216,43
GOPR0440,GOPR0217,36
GOPR0441,GOPR0218,38
GOPR0442,GOPR0219,40
GOPR0443,GOPR0220,34
GOPR0444,GOPR0221,38
GOPR0445,GOPR0222,44
GOPR0446,GOPR0223,42
GOPR0447,GOPR0224,44
GOPR0448,GOPR0225,45
GOPR0450,GOPR0227,42
GOPR0451,GOPR0228,44
GOPR0452,GOPR0229,36
GOPR0453,GOPR0230,43
GOPR0454,GOPR0231,46
GOPR0455,GOPR0232,38
GOPR0456,GOPR0233,38
GOPR0457,GOPR0234,40
GOPR0458,GOPR0235,42
GOPR0459,GOPR0236,43
GOPR0460,GOPR0237,45
GOPR0461,GOPR0238,44
GOPR0462,GOPR0239,43
GOPR0465,GOPR0242,43
GOPR0466,GOPR0243,44
GOPR0467,GOPR0244,43
GOPR0468,GOPR0245,43
GOPR0469,GOPR0246,42
GOPR0470,GOPR0247,42
GOPR0471,GOPR0248,43
GOPR0472,GOPR0249,42
GOPR0473,GOPR0250,42
GOPR0474,GOPR0251,43
GOPR0475,GOPR0252,43
GOPR0476,GOPR0253,42
GOPR0480,GOPR0257,42
GOPR0481,GOPR0258,42
GOPR0482,GOPR0259,43
GOPR0483,GOPR0260,42
GOPR0484,GOPR0261,43
GOPR0485,GOPR0262,43
GOPR0486,GOPR0263,43
GOPR0487,GOPR0264,42
GOPR0488,GOPR0265,43
GOPR0489,GOPR0266,43
GOPR0490,GOPR0267,44
GOPR0491,GOPR0268,43